c_loss,g_loss
-10.10852146,-22.63589287
-4.094397545,-7.896616936
-3.339939594,-9.8517313
-2.668269634,-13.69138527
-2.666942358,-13.07831573
-2.532699108,-11.88888454
-2.089152575,-12.18336582
-2.190045834,-12.10698891
-2.205885887,-12.96819305
-2.020801067,-12.94757652
-2.408823252,-11.79757786
-2.218846798,-12.34842777
-2.103695393,-11.96127701
-2.116203547,-12.01225376
-2.262036562,-12.5938406
-2.07063508,-11.57939243
-2.266103268,-11.30498028
-1.996039271,-12.86590099
-2.155878544,-11.58119297
-2.057957888,-11.18671989
-2.116611958,-7.99015522
-2.07307148,-8.297782898
-1.993275166,-8.864865303
-2.238392353,-8.342606544
-1.96440959,-7.599370956
-2.060966969,-7.45162487
-2.013813972,-6.543288708
-2.284018993,-7.206425667
-1.891991854,-6.72873354
-1.895861387,-7.007232189
-1.86716342,-7.387868881
-1.933794022,-7.308765888
-1.902749062,-7.217132568
-2.132456303,-7.239379883
-1.820890069,-7.249422073
-2.163049221,-7.23006773
-1.929635406,-6.813265324
-1.873192906,-7.213693619
-1.730013371,-6.759128571
-2.080048084,-7.037686825
-1.944984555,-7.087043285
-1.750048757,-6.844521523
-1.839962482,-6.634047031
-1.741268873,-6.74512434
-1.836039186,-6.553617001
-1.914938688,-6.964248657
-1.916250825,-6.87676096
-1.724825621,-6.544263363
-1.762091994,-6.922826767
-1.898223519,-6.681122303
-1.981529474,-6.888955593
-1.77332437,-6.722063541
-1.737226725,-6.845967293
-1.895931959,-6.875103951
-1.918702126,-6.662065983
-1.859970927,-6.967119217
-1.796775341,-6.954866886
-1.723983884,-6.584922314
-1.718185663,-6.753173351
-1.736694574,-6.525336742
-1.743099689,-6.503271103
-1.933768511,-6.291929722
-1.83729589,-6.790830135
-1.648422122,-6.276295185
-1.762176037,-6.409193039
-1.556728482,-6.477436066
-1.854984522,-6.642419815
-1.809688926,-6.342910767
-1.928599834,-6.314467907
-1.794304132,-6.293126106
-1.68780005,-5.930055618
-1.620642304,-6.268064499
-1.831811428,-6.458897114
-1.820839643,-6.14940691
-1.840629458,-6.362017632
-1.750385046,-6.255224705
-1.702625275,-6.381354809
-1.798651338,-6.305302143
-1.791739702,-6.061933041
-1.739519358,-6.121654034
-1.696019769,-5.975430965
-1.799632192,-6.249873638
-1.953055859,-6.117505074
-1.636790037,-6.129058361
-1.705492258,-5.967033863
-1.658726454,-5.947689056
-1.84494102,-5.76926899
-1.837249994,-6.030767441
-1.722648382,-5.984863281
-1.862822771,-6.507413864
-1.597446322,-5.918591976
-1.796437979,-6.174030304
-1.628683925,-6.124406338
-1.815073729,-5.827301502
-1.810202241,-5.885186195
-1.803191423,-6.021895885
-1.667216182,-5.902444363
-1.774295449,-5.992472649
-1.645116091,-5.924697876
-1.590374351,-5.821187019
-1.865303397,-5.620110989
-1.571484089,-5.929397106
-1.743071795,-5.763012886
-1.670208931,-5.309323788
-1.590490699,-5.627188206
-1.735887527,-5.692803383
-1.581399322,-5.873131275
-1.647137403,-6.091816425
-1.532290697,-5.708944798
-1.775804758,-5.975756168
-1.493616819,-5.527788162
-1.891426921,-5.392789364
-1.720286608,-5.545826912
-1.635534048,-5.652828217
-1.805145621,-5.538401604
-1.67672503,-5.2505126
-1.568055272,-5.529170036
-1.672027707,-5.622781754
-1.718870282,-5.426002026
-1.708871365,-5.994904041
